Pos,Strand,Locus_tag,Product,UTRlength,GeneLength,Primary,Secondary,Internal,Antisense,Putative sRNA,Putative asRNA
38,+,b0001,thr operon leader peptide,152.0,66.0,0,1,0,0,0,0
113,+,b0001,thr operon leader peptide,77.0,66.0,0,1,0,0,0,0
122,-,b0001,thr operon leader peptide,,66.0,0,0,0,1,0,1
148,+,b0001,thr operon leader peptide,42.0,66.0,1,0,0,0,0,0
1176,-,b0002,fused aspartokinase I and homoserine dehydrogenase I,,2463.0,0,0,0,1,0,1
2259,-,b0002,fused aspartokinase I and homoserine dehydrogenase I,,2463.0,0,0,0,1,0,1
2391,+,b0002,fused aspartokinase I and homoserine dehydrogenase I,,2463.0,0,0,1,0,0,0
2581,+,b0003,homoserine kinase,220.0,933.0,1,0,0,0,0,0
3729,-,b0003,homoserine kinase,,933.0,0,0,0,1,0,1
4787,+,b0004,threonine synthase,,1287.0,0,0,1,0,0,0
5147,+,b0005,hypothetical protein,87.0,297.0,1,0,0,0,0,0
5652,+,b0006,peroxide resistance protein%2C lowers intracellular iron,,777.0,0,0,0,1,0,1
5925,-,b0006,peroxide resistance protein%2C lowers intracellular iron,,777.0,0,0,1,0,0,0
6728,+,b0007,putative transporter,,1431.0,0,0,0,1,0,1
6966,+,b0007,putative transporter,,1431.0,0,0,0,1,0,1
7418,+,b0007,putative transporter,,1431.0,0,0,0,1,0,1
7482,-,b0007,putative transporter,,1431.0,0,0,1,0,0,0
8042,+,b0008,transaldolase B,196.0,954.0,1,0,0,0,0,1
8053,-,b0007,putative transporter,94.0,1431.0,1,0,0,0,0,0
8226,-,b0007,putative transporter,267.0,1431.0,0,1,0,0,0,1
8542,-,b0008,transaldolase B,,954.0,0,0,0,1,0,1
8581,-,b0008,transaldolase B,,954.0,0,0,0,1,0,1
9277,+,b0009,molybdochelatase incorporating molybdenum into molybdopterin,29.0,588.0,1,0,0,0,0,0
9359,-,b0009,molybdochelatase incorporating molybdenum into molybdopterin,,588.0,0,0,0,1,0,1
10476,-,b0010,inner membrane protein%2C Grp1_Fun34_YaaH family,,567.0,0,0,1,0,0,0
10584,+,b0010,inner membrane protein%2C Grp1_Fun34_YaaH family,,567.0,0,0,0,1,0,1
10989,-,b0011,conserved protein%2C UPF0174 family,,714.0,0,0,1,0,0,0
11033,-,b0011,conserved protein%2C UPF0174 family,,714.0,0,0,1,0,0,0
11090,+,b0011,conserved protein%2C UPF0174 family,,714.0,0,0,0,1,0,1
11407,+,b0011,conserved protein%2C UPF0174 family,,714.0,0,0,0,1,0,1
11543,+,b0013,conserved protein%2C UPF0412 family,,405.0,0,0,0,1,0,1
11936,-,b0013,conserved protein%2C UPF0412 family,150.0,405.0,1,0,0,0,0,0
12048,+,b0014,chaperone Hsp70%2C co-chaperone with DnaJ,115.0,1917.0,1,0,0,0,0,0
12135,-,b0014,chaperone Hsp70%2C co-chaperone with DnaJ,,1917.0,0,0,0,1,0,1
13083,+,b0014,chaperone Hsp70%2C co-chaperone with DnaJ,,1917.0,0,0,1,0,0,0
13932,+,b0015,chaperone Hsp40%2C co-chaperone with DnaK,236.0,1131.0,1,0,0,0,0,0
14095,-,b0014,chaperone Hsp70%2C co-chaperone with DnaJ,,1917.0,0,0,0,1,0,1
14535,+,b0015,chaperone Hsp40%2C co-chaperone with DnaK,,1131.0,0,0,1,0,0,0
15080,+,b0015,chaperone Hsp40%2C co-chaperone with DnaK,,1131.0,0,0,1,0,0,0
15441,+,b0016,IS186 transposase,4.0,1113.0,1,0,0,0,0,0
16003,-,b0016,IS186 transposase,,1113.0,0,0,0,1,0,1
16296,-,b0016,IS186 transposase,,1113.0,0,0,0,1,0,1
16460,-,b0016,IS186 transposase,,1113.0,0,0,0,1,0,1
16949,-,b4412,toxic membrane protein%2C small,46.0,153.0,1,0,0,0,0,1
16952,+,b4413,sRNA antisense regulator blocking mokC%2C and hence hokC%2C translation,0.0,55.0,1,0,0,0,0,1
17007,-,b0018,regulatory protein for HokC%2C overlaps CDS of hokC,47.0,210.0,0,1,0,0,0,1
17053,-,b0018,regulatory protein for HokC%2C overlaps CDS of hokC,93.0,210.0,0,1,0,0,0,1
17151,-,b0018,regulatory protein for HokC%2C overlaps CDS of hokC,191.0,210.0,1,0,0,0,0,0
17215,+,b0019,sodium-proton antiporter,274.0,1167.0,0,1,0,0,0,0
17224,+,b0019,sodium-proton antiporter,265.0,1167.0,0,1,0,0,0,0
17311,+,b0019,sodium-proton antiporter,178.0,1167.0,1,0,0,0,0,0
17414,-,b0019,sodium-proton antiporter,,1167.0,0,0,0,1,0,1
17422,+,b0019,sodium-proton antiporter,67.0,1167.0,0,1,0,0,0,0
17454,+,b0019,sodium-proton antiporter,35.0,1167.0,0,1,0,0,0,0
17589,-,b0019,sodium-proton antiporter,,1167.0,0,0,0,1,0,1
17981,+,b0019,sodium-proton antiporter,,1167.0,0,0,1,0,0,0
18374,+,b0019,sodium-proton antiporter,,1167.0,0,0,1,0,0,0
18553,+,b0020,DNA-binding transcriptional activator,162.0,906.0,1,0,0,0,0,0
19155,+,b0020,DNA-binding transcriptional activator,,906.0,0,0,1,0,0,0
19187,+,b0020,DNA-binding transcriptional activator,,906.0,0,0,1,0,0,0
19486,+,b0020,DNA-binding transcriptional activator,,906.0,0,0,1,0,0,0
19511,-,b0020,DNA-binding transcriptional activator,,906.0,0,0,0,1,0,1
19659,-,b0020,DNA-binding transcriptional activator,,906.0,0,0,0,1,0,1
19759,+,b0021,IS1 transposase B,,504.0,0,0,0,1,0,1
19831,+,b0021,IS1 transposase B,,504.0,0,0,0,1,0,1
20278,+,b0021,IS1 transposase B,,504.0,0,0,0,1,0,1
20526,-,b0022,IS1 repressor TnpA,18.0,276.0,0,1,0,0,0,0
20562,-,b0022,IS1 repressor TnpA,54.0,276.0,0,1,0,0,0,0
20678,-,b0022,IS1 repressor TnpA,170.0,276.0,1,0,0,0,0,0
20859,+,b0023,30S ribosomal subunit protein S20,,264.0,0,0,0,1,0,1
20984,+,b0024,hypothetical protein,197.0,219.0,1,0,0,0,0,1
21007,+,b0024,hypothetical protein,174.0,219.0,0,1,0,0,0,1
21113,+,b0024,hypothetical protein,68.0,219.0,0,1,0,0,0,1
